LABEL	preprocessing_A
AGAINST	torrar perder papel arrimar parlament okupa general tener claro mitad catalán vender abandonar pagar
AGAINST	politicos incluir alcalde cobrar €mas comisionesmas vitalicio numeros saldran
FAVOR	irene lozano denunciar violacion hora imaginar pensar mujer escuchar lamentable comparacion minimo dignidad dimitir #junquerasacusa #procesoprocesarv
NEUTRAL	abominable caricaturar rayma borges extranjero venezuela
AGAINST	falto ernest lluch asesinar banda terrorista pertenecia arnaldo otegui malo persona pedir perdon silenciar asesinato matar responder
FAVOR	cada paso asco vivir joder pais decir populacho votar fascismo
FAVOR	ines arrimar encabronada catalunya joder negociar marido
AGAINST	ser mujer conviee ser hombre conviee desalmar #yonovoym #fuerachiringuitosdegenero #voxextremanecesidad
NEUTRAL	detenido botellazo patear cabeza parejo hombre acudio complejo hospitalario leon sangrar abudantemente
NEUTRAL	vida levar deus ajudando nessa caminhada olhando
NEUTRAL	caiu primeiro ministro governo bolsonaro faltam mais vamo acelerar carnaval
AGAINST	mujer constitucionalista demostrar arrugar frente barbarie separata adornar tarrasa terrassa bandera español dejar bonito ciudad motivar holgar fake gracia valiente ser seguir
NEUTRAL	brusela acusar telefonica incumplir compromiso comprar eplus segun comision europeo empresa telecomunicación español adoptar medir correctivo prometido
AGAINST	desde septiembre octubre juez magistrado salir cataluña gracia proces juez irse pero pedro sanchez negociar golpista
AGAINST	verguenza habria boicot empresa tsystems pedir responsabilidad gobernante independentista partidopopular malversacion fondo publicos fondo autonomico liquidez proces
NEUTRAL	atitude altitude muito feliz pelar vitoria
FAVOR	#ultimahora riguroso exclusivo censurar primero imagenes expulsion venezuela gonzalez pons colega fascista parlamentar europeo #sanchezenve
FAVOR	quan dret lavivenda constitucional constitucion convenir verguenza
AGAINST	maduro acabar dictadura acabar tirania acabar violar ddhh acabar pisotear constitucion
NEUTRAL	rodo aquelas coisa meno sustentar tirar tropa encontra lazer mangueirinha caxias
NEUTRAL	funcionario politicos financiar guerrilla comunista #filipinas
NEUTRAL	pasar grupo whatsapp aunque asegurar ver memes movil pareceria super light
FAVOR	puigdemont presidente republica catalunya guaido golpista debatir tertulio
AGAINST	psoe elegir como amarar rocio jurar rendir culto sanchez mejor pimpinelavete datar volver #eleccionesvotoderechas
NEUTRAL	#arrimadas anunciar acto publicar celebrar plaza villa madrid presenciar presidente formacion naranja albert rivera #ciudadanos #barcelona
NEUTRAL	#lulalivreja acesso educação todo governos lula dilma povo teve acesso melhores universidad
FAVOR	aterrorizar poder presentar videojuego juez marchena demostrar trampa fairy completamente real #fairy #judicifarsa
AGAINST	vestir comprobar atentar paris barcelona brusela londres riesgo #eleccionesvotoderechas riesgo terrorista colar flujo inmigrante
FAVOR	seguridad social declarar incapacitar golpista institucional ahorrariamos judicial serio administrativo
FAVOR	demoledor democracia desconfianza sensacion engañar columna edad joaquin estefania
FAVOR	nacionalismo español catalan irse imponer volver catalán renunciar lengua constumbres nacionalismo español cegar obligar olvidar madre español
AGAINST	#quenoensenfrontin cataluña numerar lider recorte social poner lazar quitar lazar lazar quitar lazar #elgranderbi
AGAINST	gobierno apuesto figurar relator dialogar independentista
AGAINST	decirle aplicar mordaza aplicar acto secta lazar amarillo boicot #lasilenciosacat #siguemeytesigovox
AGAINST	noto golpista repetir renunciar ideal autodeterminacion
FAVOR	como debian juicio independentista vasco vasco
AGAINST	sumir campaña apoyar ciudadano equiparacion salarial ‍‍‍‍‍ ‍‍‍‍‍ ‍‍‍‍‍‍ úsalo #equiparacionya #ilpjusapol #abrilmadrid
AGAINST	reiterar actuacion fuerza cuerpo seguridad estar octubre cataluña legitimar profesional proporcionar nada ocurrir irresponsable convocar alentar acto ilegal
AGAINST	hacer cama defensa resultar dificil preso votar jaja
AGAINST	picar montar huir maletero cobardemente llamar cobarde alemania belgica culpable puigdemont entrar eurocamara tildar cobarde presionar españa polonia hungria
AGAINST	excusar buscar separatismo seguir justificar existencia
NEUTRAL	sang #goforgreatlovethebigdate teaser sobrang kinilig edward barber
FAVOR	psoe pactar independentista estrofa repetir saciedad ppcs mes pactar volver indepes acordais iceta albiol arrejuntar pues
NEUTRAL	directo empezar sesion juicio #proces este jueves declarar mando policial siguelo streaming
AGAINST	bosch advertir riesgo incendiar calle aplicar
NEUTRAL	tomar decisión serio jugar piedra papel tijera
FAVOR	cuando periodista convertir portavoz regimen perder credibilidad referir maduro #spanishinquisition
AGAINST	partido extremo necesidadviva #siguemeytesigovox perseguira okupa obligar desalojar forzar
AGAINST	#enricmillo relatar clima violencia vivir cataluña describir multitud ataque policias comitiva judicial instalación politicos #juicioproces
FAVOR	#procesoprocesarv ir frenar tsunami indepe juicio supremo periodista rastrero irrupcion fascismo ayudar disuadir contrario
AGAINST	#relatorarv juliano gravisimas acusación recordar acusación constante estar represor franquista antidemocratica cataluña vivir crisis humanitario tirar esloveno mantra constante nacionalismo
AGAINST	politicos politica rosa loable alguno insultar restar victimar este tuit desgraciar asesinato resolver otegui condenar organizar
AGAINST	ultra derecho apuesto intervencion estar reconocer constitucion violento defender justar contrario triste nivel periodistico pais #voxextremanecesidad #voxentodaespaña #siguemeytesigovox
FAVOR	nieto mision organizativo pero opinar derivar actitud violento #juicioproces
NEUTRAL	obligatorio costarte durar mencion especial jovenes compaginar estudio cuidar familiar dependiente problema basar politicas ocurrencia pijo cojón
FAVOR	mil pensionista taxista miembro recorrer calle madrid convocatorio defensa #pensionesdignas #gobiernequiengobierne #taxienlucha
AGAINST	desgraciar creyente biblia persona para golpista frustrar infierno suficiente fuego altura pecar
NEUTRAL	presidente republica chega trending topics twitter mensagens repudiar criticar bolsonaro
NEUTRAL	numerar interior sostener mossos ineficaz frenar octubre
FAVOR	sindicato clasico ccoo hasn indepes falso izquierdo vosotros dejar cuadro proteger sindicatosen france prohibirian
NEUTRAL	directo borrell alertar afirmar ultra entrar futuro gobierno derecho permitira tonelada dialogar necesario resolver crisis catalunya
AGAINST	presidente òmnium sentir desamparar partido independentista
AGAINST	mossos desplegar lograr intervenir urna ordenadore papeleta sobre hoja inscripcion hoja local electoral hoja constitucion telefono movil cartel tarjeta precinto
FAVOR	pues criticar doblar moral prision preventivo delito penal parecer poner etiquetar #juicioproces #juiciomoral
FAVOR	republica independencia idear politicas legitimar partido independendistas ganar forzar obviar luchar él votar alemán perspicacia señor perspicaz
NEUTRAL	muito quatro mulheres incluso
FAVOR	mañana celebrar asamblea mensual abrir tod@s aquell@s implicad@s interesad@s luchar #pensiones cdel pilar premiar tod@s bienvenid@s #gobiernequiengobierne #pensionesdignas
FAVOR	junquera destinar fondo publicos referendum #juicioproces
FAVOR	entender octubre prensar español unisono cataluña referendum fiscal estar decir
AGAINST	reunion policial septiembre convocar puigdemont clavar asistente listo testigo supremo mañana lunes martes perez cobos puigserver nieto ballestero enric millo forn puig soler trapero
AGAINST	otro empresa iran cataluña apocalipsis acercar preparar independentismo venganza empresa dejar cataluña
NEUTRAL	trump interesar electoralmente temer venezolano duque bolsonaro macri ganar españa elección abril llamar politica felizmente causar democratica venezolano astro alinear quejar
FAVOR	tener dato demostrar mayoria indepe vasco
AGAINST	urna fallecer hora muerte
FAVOR	indepe trasplante medula donante chino banco dato global
FAVOR	sonar este tratar sucedio guerra civil republica europa ayudar luchar fascismo ayudar ignorar ahora paso mismo europa deuda nosotros
AGAINST	legislatura fallir mes sanchez perdido tiempo futuro españa mano independentista
FAVOR	etico politicos ganar soldar dieta mensual pretender vender poblar diario soldar exito sentir julia volver tonto conservar etica
NEUTRAL	jefe grupo hacerse supermercado inversor frio aprovechar tendencia mercar
FAVOR	republica gobierno legitimar defender bando franquista definir
NEUTRAL	#graciasines abandonar catalán independentista utilizarnos trampolin politica #graciasines indepes celebrar salir politica catalán hacernos sentir idiota votar #graciasines
AGAINST	escandalo olot obra relacionar politicos independentista manar
AGAINST	claro claro canton suizo decidir golpe separar separar decir demasimagino suizo dira noque encarcelar nadieporque democratas igual pasaria alemania derogar constitucion territorio
FAVOR	turnar preguntar defensa empezar interrogatorio xavier melero #juicioproces
FAVOR	hola facha corazon proximas elección dudar votar partidopopularcs fascistate proponer algo coger meter papeleta partidosjuntos fuerte parar indepes arribar ejpaña
AGAINST	opinar gratis respetable compartir para rebatir esgrimir justicia mentar articulos constitucion pais regir ciudadano politicos jurar cargar prometer lealtad constitucion
FAVOR	puigdemont arrimar decirme algo decir caro
AGAINST	torrar perder papel arrimar presidente catalan enfurecer lider ciudadano cataluña interpelar punto exigio sanchez volver loquito
AGAINST	como votar mugre independentista golpista filoetarras bolivariano amar sociatas picar culpable
FAVOR	bueno articular economist procesar proces subrayar independentismo llegar ilegal intimidacion poder judicial franquista pero dudar rebelion aconsejar indultar caso condenar
FAVOR	dejar video acabar lanzar fascismo aqui clave reconocerlo recitar verso poema rosen empezar revelador esperar gustar
NEUTRAL	abrir rambla club estriptis barcelona vecino preocupar cronica
AGAINST	psoe empezo campaña costumbre centro civicos mayoria mayor taller centro llevar regalo promesa pasar llamar ofreciendose llevarles votar #eleccionesvotoderechas
FAVOR	pensais amedrentar pedir nombre sabeis punto disponer plantaros caro #apuntaminombrevox
FAVOR	pues mirar esperar politicos hacer convocar manifestación
AGAINST	decir tardo sentenciar juicio golpista amañar ultraderecha controlar sala recordar niño cometer trastada colegiar castigar preparar excusar padre mania
FAVOR	recibir ninguno siquiera arrimar zaragoza bloquear
AGAINST	figaro arrear piedad separatismo obtuso continente catalán sectario inglés favorable brexit italiano liga despreciar supremacismo desenmascarar
AGAINST	️no odiar hombre feminismo radical representar contrario ofender ️oye poner logo morar recordar existir mujer femenino #eleccionesvotoderechas razonar pesar ️muy atento
FAVOR	independentismo miedo dialogar querer madre incoherente mentiroso
FAVOR	casado rivera abascal pretender suspender democracia catalunya echar pedro sanchez moncloa triderecha reaccionario exagerar alto traicion utilizar metodos utilizar guaido eeuu venezuela
NEUTRAL	bueno amable pajarero promediar venezuela libre
FAVOR	quien golpe cercano alfonso armar aparato estar cesid psoe especialmente felipe gonzalez javier solana otro politicos fraga tamames sole tura alto mando ejercitar
NEUTRAL	quem concorda piscadinha
NEUTRAL	volver casa yihadistas internacional eeuu pedir paises europeo repatrien nacional preso cronica y@adriarochacut
